PARK,YEAR,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2005,2702807.094,3904054.692,3535930.428,3913742.172,513436.4731,251874.4962,145312.2094,368124.2637,3293743.413,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2005,0,4950302.599,2276557.947,3516555.467,348749.3025,0,0,0,0,0,0,0,0,0
Discovery Park,2005,10714353.57,8631545.237,8185921.128,7701547.097,1075310.349,445624.1088,2819056.862,765310.9694,5473426.553,135624.7288,19374.96125,2208745.583,900935.6981,455311.5894
Genesee Park,2005,2150620.699,1114060.272,2005308.489,3129056.242,0,0,0,0,0,0,0,0,0,0
Golden Gardens,2005,4620928.258,1830933.838,2169995.66,2082808.334,135624.7288,38749.9225,9687.480625,377811.7444,639373.7213,0,0,0,38749.9225,9687.480625
Lake Forest Park,2005,1859996.28,87187.32562,1133435.233,1123747.752,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2005,3904054.692,1879371.241,2102183.296,3739367.521,48437.40312,232499.535,0,2596244.808,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2005,8137483.725,5066552.367,5521863.956,3933117.134,1269059.962,0,0,0,0,9687.480625,0,1239997.52,0,9687.480625
Seward Park,2005,10016854.97,1811558.877,1404684.691,649061.2019,0,0,0,4940615.119,1288434.923,9687.480625,9687.480625,0,9687.480625,106562.2869
Washington Park Arboretum,2005,0,7643422.213,3206556.087,1918121.164,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2006,2731869.536,3904054.692,3516555.467,3923429.653,513436.4731,203437.0931,145312.2094,397186.7056,3293743.413,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2006,0,4940615.119,2247495.505,3555305.389,348749.3025,0,0,0,0,0,0,0,0,0
Discovery Park,2006,10694978.61,8612170.276,8185921.128,7691859.616,1094685.311,503748.9925,2828744.343,697498.605,5521863.956,154999.69,19374.96125,2189370.621,900935.6981,435936.6281
Genesee Park,2006,2160308.179,1114060.272,2005308.489,3119368.761,0,0,0,0,0,0,0,0,0,0
Golden Gardens,2006,4649990.7,1821246.357,2140933.218,2092495.815,154999.69,19374.96125,9687.480625,377811.7444,639373.7213,0,0,0,38749.9225,9687.480625
Lake Forest Park,2006,1859996.28,87187.32562,1133435.233,1123747.752,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2006,3923429.653,1859996.28,2169995.66,3671555.157,48437.40312,222812.0544,0,2605932.288,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2006,8079358.841,5153739.692,5550926.398,3981554.537,1269059.962,0,0,0,0,19374.96125,0,1123747.752,0,9687.480625
Seward Park,2006,9987792.524,1821246.357,1404684.691,649061.2019,0,0,0,4940615.119,1288434.923,19374.96125,9687.480625,0,9687.480625,116249.7675
Washington Park Arboretum,2006,0,7643422.213,3225931.048,1898746.203,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2007,2751244.498,3904054.692,3516555.467,3923429.653,513436.4731,203437.0931,145312.2094,368124.2637,3293743.413,0,0,0,1675934.148,19374.96125
Cheasty Greenspace,2007,0,4872802.754,2189370.621,3613430.273,416561.6669,0,0,0,0,0,0,0,0,0
