PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2731869.536249999888241,3913742.172499999869615,3526242.947500000242144,3913742.172499999869615,513436.473125000018626,213124.573750000010477,145312.209375000005821,387499.224999999976717,3284055.931875000242144,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4853427.793124999850988,2034370.931250000139698,3719992.560000000055879,484374.031250000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10879040.741875000298023,8650920.198125001043081,8166546.166875000111759,7604672.290625000372529,1094685.310624999925494,406874.186250000027940,2915931.668124999850988,658748.682499999995343,5521863.956249999813735,125937.248124999998254,19374.961250000000291,2150620.698749999981374,900935.698124999995343,435936.628124999988358
Genesee Park,2140933.218125000130385,1114060.271875000093132,1995621.008750000037253,3148431.203125000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4620928.258124999701977,1869683.760625000111759,2082808.334375000093132,2208745.582500000018626,154999.690000000002328,19374.961250000000291,9687.480625000000146,329374.341249999997672,610311.279375000041910,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,87187.325624999997672,1133435.233125000027940,1123747.752499999944121,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3942804.614374999888241,1869683.760625000111759,2160308.179374999832362,3700617.598749999888241,48437.403124999997090,213124.573750000010477,0.000000000000000,2567182.365625000093132,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8147171.205625000409782,5153739.692499999888241,5560613.878750000149012,4407803.684375000186265,1172185.155625000130385,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9687.480625000000146,0.000000000000000,726561.046875000000000,0.000000000000000,9687.480625000000146
Seward Park,9978105.043749999254942,1782496.435000000055879,1414372.171250000130385,649061.201875000027940,0.000000000000000,0.000000000000000,0.000000000000000,4979365.041249999776483,1288434.923124999972060,29062.441875000000437,9687.480625000000146,0.000000000000000,9687.480625000000146,106562.286875000005239
Washington Park Arboretum,0.000000000000000,7546547.406875000335276,3303430.893124999944121,1918121.163750000065193,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
