"station.code","AGOL","AMCR","AMRO","ANHU","BARS","BCCH","BEKI","BEWR","BHCO","BRCR","BTPI","BUSH","CATE","CBCH","CEDW","CLSW","COHA","CORA","DCCO","DEJU","DOWO","EUST","FOSP","GADW","GBHE","GCKI","GWGU","HETH","HOFI","HUVI","MALL","NOFL","OCWA","OSFL","PAWR","PISI","PUMA","RBNU","RCKI","RECR","RTHA","RWBL","SOSP","SPTO","STJA","SWTH","TOWA","VASW","VATH","VGSW","WEFL","WETA","WIWA","YEWA","YRWA","BAEA","BTYW","MERL","OSPR","PUFI","WAVI","BANS","BBWO","BHGR","BUFF","CANG","COME","GRHE","HAFL","HOME","RBSA","ROPI","BAOW","EVGR","NAWA","PEFA","PIWO","RUHU","SSHA","WEWP","GCSP","WCSP","WODU","CAGU","RNSA","SAVS","BLJA","ABOW","STSA","RBME","COYE","HAWO","TRES","CASJ","AMDI","HOSP","CAVI","SBIG","BLSW","BRBL","CAQU","EUCD","TRUS","WIFL","MGWA","AMWI","BAGO","BRAN","COGO","GOEA","HOGR","KILL","PIGU","RBGU","SUSC","WEGR","WEGU","AMCO","LISP","BLSC","COLO","GRSC","HEEG","HERG","LESA","NRWS","NSHO","RTLO","SAND","VESC","WESA","BBPL","BLTU","COMU","COTE","DUNL","HADU","RHAU","SNBU","WHIM","AMPI","BOGU","BRAC","ICGU","LESC","MAMU","NOPI","PAJA","PECO","PESA","RNDU","RNGR","SAPH","SEPL","SPSA","SURF","GRYE","BASA","CITE","EUWI","MAWR","LBDO","SNGO","LTDU","PALO","CHSP","MODO","NHWR","GHOW","BUOR","GWTE","NSWO","ABDU","LAZB","TOSO","RNEP","GWFG","EAGR","PBGR","TUVU","CACG","NOHA","WEME","LASP","HEWA","SNOW","NSHR","NOMO","WTSP","SEOW","AMKE","WEBL","MOCH","CANV","RUDU","WEKI","VESP","RBGR","SOSA","WISN","SORA","VIRA","REDH","FRGU","HOLA","BLPH","EAKI","BWTE","shannon"
"AM1",1.25,4.10791366906475,3.27272727272727,1.52884615384615,5.6,2.94642857142857,1,1.78813559322034,1,1.08823529411765,1.5,3.625,1,2.75,3.33333333333333,5,1.4,1,1,2.62765957446809,1,2,1,1.66666666666667,1,4.7734375,1.57142857142857,1,1.96428571428571,1,2,1.20454545454545,1,1,1.0625,6.58620689655172,1,1.82105263157895,1.45454545454545,1.5,1,23.5,1.76521739130435,1.33962264150943,1.5,1,1.28571428571429,1.5,2.47368421052632,2,1,1.25,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58147814146693
"AM10",2.33333333333333,4.09,3.34666666666667,2.18095238095238,4.4,2.70731707317073,1,1.45070422535211,1,1.0952380952381,1.4,12.75,0,2.46511627906977,3.66666666666667,12,1.4,2,1,1.74576271186441,1,8.25,1,0,0,4.58620689655172,1.14285714285714,1,1.63157894736842,1,1.8,1.07407407407407,0,1,1.18181818181818,7.3448275862069,0,1.61538461538462,1.28571428571429,10,1,0,1.83695652173913,1.50793650793651,1.44,0,2.25,9.33333333333333,2.4,2.6,1.46666666666667,1.6,1,1,0,1.25,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59144916957434
"AM2",1.83333333333333,3.37614678899083,3.33333333333333,1.29411764705882,4,3.23913043478261,1,1.60714285714286,1.25,1.46875,1,2,0,2.83928571428571,3.33333333333333,0,1.66666666666667,0,1.5,2.86363636363636,1.06666666666667,3.5,1,2,1,4.53333333333333,1.28571428571429,1.28571428571429,2.56603773584906,1.25,2.23076923076923,1.20512820512821,1,0,1.25806451612903,7.4,2,1.86746987951807,1.63888888888889,7.5,0,0,1.86206896551724,1.45588235294118,1,0,1.25,2.2,2.03846153846154,3.4,1,2.71428571428571,1.25,1,3.16666666666667,1,0,1,1,1,0,2,6,1,1,4,2,1,1,3.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95540465365537
"AM3",1.4,3.31304347826087,5.19266055045872,1.96153846153846,0,3.25842696629213,1,1.61,2,1.37837837837838,2.4,7.18181818181818,0,2.55357142857143,5.6,0,1,1.5,0,2.97101449275362,1.16666666666667,1.6,0,0,1,4.33606557377049,1.42857142857143,0,2.67857142857143,1,2.5,1.46511627906977,1.33333333333333,2,1.5,8.62857142857143,0,2.40178571428571,2,7.75,0,0,2.31896551724138,1.49275362318841,1.80769230769231,0,2.14285714285714,3.5,1.69565217391304,1.2,1.28571428571429,1.5,1.16666666666667,1,1.25,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,14,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72931816859035
"AM4",1.3125,3.49107142857143,3.96629213483146,1.56521739130435,2,2.98,0,1.71276595744681,1.5,1.3125,2.33333333333333,3.2,1.5,2.75510204081633,0,0,1,1.14285714285714,0,2.67142857142857,1,15,2,0,0,5.95652173913043,1.14285714285714,1,2.41666666666667,1,1,1.36585365853659,1,0,1.31818181818182,6.76315789473684,0,1.84146341463415,2.13461538461538,1.33333333333333,1,0,1.69047619047619,1.48275862068966,1.91304347826087,5,1.45454545454545,4.75,3.39285714285714,3.42857142857143,1.77777777777778,1.76923076923077,1.66666666666667,1,1.6,0,1,1.33333333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72038045707865
"AM5",1.66666666666667,3.72549019607843,5.4375,2.36752136752137,6,3.8989898989899,0,1.64356435643564,1,1.42307692307692,1.6,7.16666666666667,0,3.5531914893617,10.1428571428571,6,1.47826086956522,0,1.5,3.07142857142857,1.09090909090909,1,1.33333333333333,2,0,5.07042253521127,1.3125,1,3.13333333333333,1,2.125,1.4,1,1,1.5,5.91666666666667,6,2.43835616438356,2.68292682926829,2,1.25,0,2.09174311926605,1.67415730337079,1.64705882352941,0,1.2,1.75,1.42857142857143,3.8,1.33333333333333,2.16666666666667,1.42857142857143,0,1.75,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83884016339013
"AM6",1.83333333333333,4.11382113821138,4.24444444444444,1.55,0,3.12765957446809,1,1.55696202531646,1,1.22727272727273,2.44444444444444,3.14285714285714,0,1.6875,5.13333333333333,0,1.16666666666667,1.8,1,2.51666666666667,1,1,0,4.64285714285714,1,3.88888888888889,1.27272727272727,1,3.16216216216216,1.11111111111111,2.8,1.39024390243902,1.5,1,1.06666666666667,8.90625,0,1.40909090909091,1.42105263157895,6.66666666666667,1,0,2.27731092436975,1.53225806451613,1.71052631578947,0,1.5,1.5,1.125,6,1,1.14285714285714,1,0,1,0.666666666666667,1.33333333333333,1,0,1,2,0,0,1,1,0,0,0,0,0,1,2.33333333333333,0,6,0,0,3,1,0,1,5.5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92988593218582
"AM7",1.94736842105263,3.53061224489796,2.95348837209302,1.46987951807229,1,2.29213483146067,0,1.32098765432099,1.5,1.18181818181818,2.25,4,0,2.29166666666667,10.5714285714286,0,1,1.33333333333333,0,2.24528301886792,1.16666666666667,1,0,2,1,3.34920634920635,1.69230769230769,1,1.82142857142857,1,0,1.32142857142857,1,1,1.29411764705882,6.20833333333333,0,1.53333333333333,1.53333333333333,3,1,0,1.87254901960784,1.47368421052632,1.93103448275862,0,1.6,7,1.5,3.28571428571429,1.15384615384615,1.83333333333333,1.2,0,1,1,1.25,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73442558020602
"AM8",1.41666666666667,3.02409638554217,2.02739726027397,1.32051282051282,4,2.13698630136986,0,1.51282051282051,0,1.25925925925926,1,4,0,3.1875,1,1,1.8,2.66666666666667,0,1.93023255813953,1.14285714285714,0,0,2,1,4.45161290322581,2,1,1.53846153846154,1.1,0,1.125,0,1,1.31914893617021,11.0967741935484,0,1.46153846153846,1.5,4,0,0,1.75,1.31481481481481,1.3125,1,2,0,1.9,2,1.23076923076923,1.125,1.4,1,1,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58623244443361
"AM9",1.3,3.30208333333333,3,1.47945205479452,5,2.31944444444444,1,1.42222222222222,1.33333333333333,1.44,3.75,4,0,2.63333333333333,7.5,0,1.11111111111111,3,4,1.92,1.25,4.66666666666667,1,0,1,4.33707865168539,1.4,0,2.26666666666667,1.08333333333333,1,1.44827586206897,1,0,1.5,5.56666666666667,0,1.44117647058824,1.6,4.33333333333333,1,0,1.94339622641509,1.52777777777778,1.38888888888889,1,5.33333333333333,4,2,7.25,1.45,1.375,1.33333333333333,0,1,1.33333333333333,1.66666666666667,1,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73529640631296
