"","source","park","species","beta_yr","se_yr","p_yr","r2","disp"
"1","Carkeek Park","Carkeek Park","AGOL",-0.313170674170057,0.103341346982156,0.00244190481544336,0.0397335983822624,1.11423103775352
"2","Carkeek Park","Carkeek Park","AMCR",-0.0719760290863385,0.0328159086091303,0.0282838041946213,0.00676718542669495,1.17912645468238
"3","Carkeek Park","Carkeek Park","AMRO",-0.158929892348758,0.036672742998639,1.46601675846952e-05,0.0308742235256321,1.28476719938416
"4","Carkeek Park","Carkeek Park","ANHU",0.266922091677631,0.0419613138916772,2.00252501206762e-10,0.0362272622081301,0.897043650787431
"5","Carkeek Park","Carkeek Park","BAEA",0.128881403614262,0.151088115083778,0.393647406955201,0.00321527107655078,0.816880418105244
"6","Carkeek Park","Carkeek Park","BAOW",-0.28567408848364,0.334747150857209,0.393436080827132,0.0126957643084724,1.84726145380238
"7","Carkeek Park","Carkeek Park","BCCH",-0.216578288561722,0.034042097648163,1.99049621331968e-10,0.0593971807555889,0.916680388747112
"8","Carkeek Park","Carkeek Park","BEWR",-0.121133191482039,0.0508887780852518,0.0172961195093675,0.00690246225902822,0.937781523754354
"9","Carkeek Park","Carkeek Park","BHCO",-0.548245618149074,0.27507759759473,0.0462550917213659,0.0517208364546896,0.554444139929273
"10","Carkeek Park","Carkeek Park","BHGR",0.416935312381265,0.204199800870331,0.0411712970172145,0.0460240592520506,2.19311190555104
"11","Carkeek Park","Carkeek Park","BRCR",0.149915490105681,0.0698738239567135,0.0319115188833906,0.00908966219421476,0.931711513617436
"12","Carkeek Park","Carkeek Park","BTPI",-0.49773318312328,0.0989843586465817,4.94583227887388e-07,0.0608880508579758,0.566119676341337
"13","Carkeek Park","Carkeek Park","BTYW",0.557167505432911,0.131563280373462,2.2857479829722e-05,0.076009242138881,1.00305300860997
"14","Carkeek Park","Carkeek Park","BUSH",-0.68744151471933,0.127131819612369,6.39773565256023e-08,0.232212924703068,1.2734602275597
"15","Carkeek Park","Carkeek Park","CBCH",0.15530846269374,0.0681800105382478,0.0227314728468363,0.0150267648597954,1.0003974550166
"16","Carkeek Park","Carkeek Park","CEDW",1.21110600300164,0.245565944435427,8.14347578298701e-07,0.088075602067246,1.59937394427205
"17","Carkeek Park","Carkeek Park","COHA",-0.432835548426185,0.205940024466444,0.0355747121509828,0.0423530103214007,1.70034396777842
"18","Carkeek Park","Carkeek Park","DEJU",1.10455179045893,0.11945642215917,2.32000593697539e-20,0.339297631293344,2.31669546397464
"19","Carkeek Park","Carkeek Park","DOWO",-0.0122746197282233,0.0878914749939956,0.888931361937853,4.83073755939959e-05,0.942371683057166
"20","Carkeek Park","Carkeek Park","EUST",-2.38825684372207,0.770130865049232,0.00192799769330259,0.596720076995975,0.285719698377522
"21","Carkeek Park","Carkeek Park","GBHE",0.381220667498293,0.19183865617697,0.0469008788469538,0.0377223122889061,2.74698831139823
"22","Carkeek Park","Carkeek Park","GCKI",-0.0159224952191633,0.0561429865229765,0.776712237711949,0.000210855846948915,1.03817638547613
"23","Carkeek Park","Carkeek Park","GWGU",0.0594613969947891,0.0506219618800259,0.240148137067732,0.00167581038638483,0.882364177797942
"24","Carkeek Park","Carkeek Park","HAWO",0.334136359331365,0.146220803566578,0.0223040779161848,0.0276081615737203,1.05947869794637
"25","Carkeek Park","Carkeek Park","HETH",0.102769859367904,0.311877185997981,0.741762463729848,0.00238818517766905,1.20089564106854
"26","Carkeek Park","Carkeek Park","HOFI",0.025954852109705,0.133798591193625,0.846188022700126,0.000210732095349445,0.87677852556522
"27","Carkeek Park","Carkeek Park","HUVI",0.261437039818698,0.151221186999577,0.0838379683169921,0.013548365183381,0.791924213451738
"28","Carkeek Park","Carkeek Park","MALL",1.36668279955669,0.249280118038116,4.19313699214545e-08,0.156520730101563,0.112079693611809
"29","Carkeek Park","Carkeek Park","MERL",-0.201918388531522,0.265395590623792,0.446764327418558,NA,2.00352337613828
"30","Carkeek Park","Carkeek Park","NOFL",-0.111245569170144,0.0508080438054821,0.0285585791246376,0.00598689655321011,0.959093539023191
"31","Carkeek Park","Carkeek Park","OCWA",0.287474987316773,0.136023475156774,0.0345646756668023,NA,1.04789970806388
"32","Carkeek Park","Carkeek Park","OSPR",-0.597087263933494,0.241313526101903,0.0133489481020543,0.0579266266750136,0.859945401111523
"33","Carkeek Park","Carkeek Park","PAWR",-0.188611832721713,0.0406881287070459,3.55990602635471e-06,0.0171044510302887,0.919659870270379
"34","Carkeek Park","Carkeek Park","PISI",0.246987714301144,0.105860743855129,0.0196409085145962,0.121157924873106,1.43453490370856
"35","Carkeek Park","Carkeek Park","PIWO",0.19342849444043,0.117618316051763,0.100063886067109,0.0131821226506174,2.009020779461
"36","Carkeek Park","Carkeek Park","PUFI",2.3266365779397,0.526848195878651,1.00477974898428e-05,0.530736917660018,1.15653690963159
"37","Carkeek Park","Carkeek Park","RBNU",0.288115121089716,0.0683391649964881,2.48718894749242e-05,0.0189319586802032,0.794274188805636
"38","Carkeek Park","Carkeek Park","RBSA",0.531346615048721,0.302319031071656,0.0788208392423394,0.0616077848595272,0.980215647620126
"39","Carkeek Park","Carkeek Park","RCKI",-0.426866556530171,0.0947012255357916,6.55933773391755e-06,0.069839120214242,1.11164721135417
"40","Carkeek Park","Carkeek Park","ROPI",-0.554474212108585,0.179047118314065,0.0019561776814789,0.132267778225921,2.21127040151833
"41","Carkeek Park","Carkeek Park","RTHA",0.525963512434029,0.212815445016616,0.0134564986690367,0.0586291344987933,1.18958581815918
"42","Carkeek Park","Carkeek Park","SOSP",-0.0334070622100521,0.0215928229678228,0.121830136956145,0.00154938495943888,0.986215421161855
"43","Carkeek Park","Carkeek Park","SPTO",0.0673303729710343,0.046508913043831,0.147704461853063,0.00230359242505338,0.975203856013912
"44","Carkeek Park","Carkeek Park","STJA",-0.0383971924278555,0.0779778318183658,0.622428368839057,0.00049905985155037,0.993638481182405
"45","Carkeek Park","Carkeek Park","SWTH",-0.0686388523749541,0.0661593647617156,0.299513376238829,0.00130225577425133,0.834722653503841
"46","Carkeek Park","Carkeek Park","TOWA",0.879681767800588,0.244860250510575,0.000327411212721945,NA,6.29003516461606
"47","Carkeek Park","Carkeek Park","VATH",0.195065635702033,0.134145306190129,0.145908363212435,0.0108415524272133,1.13417788366529
"48","Carkeek Park","Carkeek Park","VGSW",-1.01388735342857,0.25662118463719,7.78544112549338e-05,0.202911693191762,0.877240616174064
"49","Carkeek Park","Carkeek Park","WAVI",0.754678849938459,0.130367173668422,7.08607704207986e-09,0.14212726791204,1.01393199475066
"50","Carkeek Park","Carkeek Park","WCSP",0.359569562087273,0.341500603450772,0.292382025451767,0.0175490929240701,0.351126901039133
"51","Carkeek Park","Carkeek Park","WEFL",0.734479925917834,0.0700336050588986,9.85657006005037e-26,0.16219144284761,0.871084318225756
"52","Carkeek Park","Carkeek Park","WETA",0.220841168328744,0.278145743881604,0.427209145499475,0.00828405672288634,0.773994022129292
"53","Carkeek Park","Carkeek Park","WEWP",-0.117462268571516,0.266862126487275,0.659820590550841,NA,3.90442922751008
"54","Carkeek Park","Carkeek Park","WIWA",0.326192807760891,0.0542764562380811,1.85706722427292e-09,0.0426334963553948,0.91947837844291
"55","Carkeek Park","Carkeek Park","YRWA",0.426827767201173,0.171549140896195,0.0128435300233049,0.0525844977801969,1.09102531667083
"56","Discovery Park","Discovery Park","AGOL",-0.298444900734847,0.0277787944535276,6.35022632687236e-27,0.0495462625411954,0.907625196048933
"57","Discovery Park","Discovery Park","AMCR",-0.273597625659549,0.0210627558250761,1.40083556349767e-38,0.0825367637107398,1.15471103857223
"58","Discovery Park","Discovery Park","AMRO",-0.1089214474451,0.0181130054049801,1.81628645963156e-09,0.0149821002601153,1.07365598042998
"59","Discovery Park","Discovery Park","AMWI",-0.14055756269967,0.136284274283949,0.302374048380242,0.000322643471592158,0.0690975783862041
"60","Discovery Park","Discovery Park","ANHU",0.166811774834531,0.0215879752100215,1.10050970050653e-14,0.0132322915350653,0.933433608420194
"61","Discovery Park","Discovery Park","BAEA",0.0120228150794225,0.0858626218235744,0.888641144605783,2.95932456713944e-05,0.992864732865186
"62","Discovery Park","Discovery Park","BAGO",-0.782944778482652,0.215907217419755,0.000287509064733421,0.00894665833293889,0.0753410767791806
"63","Discovery Park","Discovery Park","BAOW",0.40479736359817,0.171929487395584,0.0185507249542556,0.0286177270935362,1.76738629600151
"64","Discovery Park","Discovery Park","BARS",-0.958927527807362,0.0995743381022018,5.9574097509257e-22,0.165012166013599,0.467521583801949
"65","Discovery Park","Discovery Park","BCCH",-0.0605638773445808,0.0204371163030865,0.00304235419102995,0.00326239264136901,0.936178160844539
"66","Discovery Park","Discovery Park","BEKI",0.00640228047577394,0.0939207838488924,0.945652845173819,7.28747186784391e-06,0.785885551556192
"67","Discovery Park","Discovery Park","BEWR",0.083112362933886,0.0251094331271309,0.000932941223333109,0.00329424981896017,0.929674300193475
"68","Discovery Park","Discovery Park","BHCO",-0.474304466943389,0.0761430612533259,4.69054502059175e-10,0.0521159210406602,0.840623166401607
