"spp","disp","r2_conditional","r2_marginal","beta_yr","se_yr","p_yr","status","park","breeding.biome","winter.biome","family","bird.group","AI","migrate","native","body.mass","trophic.level","trophic.niche","habitat","habitat.density"
"AGOL",-1.01129474294975,0.578065320218494,0.10462927913977,-0.27362504281297,0.085322949563815,0.00134157908533787,"Apparantly stable","Carkeek Park","Forest Generalist","Temperate North America","Fringillidae","landbird","other","M","native",12.8,"Herbivore","Granivore","Forest",1
"AMCR",-0.923974756388782,0.770541338509627,2.589731533965e-06,-0.00184597995898552,0.0431170044965466,0.965850385687325,"Apparantly stable","Carkeek Park","Habitat Generalist","Temperate North America","Corvidae","landbird","other","M","native",448.8,"Omnivore","Omnivore","Human Modified",2
"AMRO",-1.19961375939773,0.481475096552544,0.0659063523261425,-0.19589829917801,0.0403546721653347,1.2074304805387e-06,"Apparantly stable","Carkeek Park","Forest Generalist","Temperate North America","Turdidae","landbird","other","M","native",78.5,"Omnivore","Invertivore","Forest",3
"AMWI",-1.71889654571905,0.969185700795007,0.00785264748040851,0.277385490604558,0.356656248313035,0.436722867992873,"Apparantly stable","Carkeek Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",754.6,"Herbivore","Omnivore","Wetland",3
"ANHU",-0.887328355994386,0.746045998092586,0.118450043911562,0.375268334449702,0.0494990373369043,3.42041170944822e-14,"Apparantly stable","Carkeek Park","Aridlands","Temperate North America","Trochilidae","landbird","other","M","native",4.2,"Herbivore","Nectarivore","Woodland",2
"BAEA",-1.25995372505701,0.786025055205011,0.00508801973846316,0.0847314755401987,0.149461036762225,0.570772969547054,"Apparantly stable","Carkeek Park","Wetland","Temperate North America","Accipitridae","landbird","other","M","native",4700.6,"Carnivore","Omnivore","Wetland",3
"BAGO",-1.95952330714775,0.996918960290357,0.00423766057859278,-0.644415938663394,0.377796494469648,0.0880597793183917,"Apparantly stable","Carkeek Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",921.2,"Carnivore","Aquatic predator","Wetland",3
"BAOW",-1.35157725505969,0.871680324555089,0.0397642969212378,-0.30588055178883,0.295142864502862,0.300024281120862,"Apparantly stable","Carkeek Park","Forest Generalist","Temperate North America","Strigidae","landbird","other","R","native",711.5,"Carnivore","Vertivore","Forest",2
"BARS",-1.43675743500636,NA,0.911011231218672,-1.75811024105529,0.715812479155133,0.014045231388889,"Decreasing","Carkeek Park","Habitat Generalist","South America","Hirundinidae","landbird","AI","M","native",17.9,"Carnivore","Invertivore","Human Modified",3
"BCCH",-0.892418906485897,0.581647504404912,0.0574753294373458,-0.203667339285125,0.040498838628137,4.93128207738206e-07,"Apparantly stable","Carkeek Park","Forest Generalist","Temperate North America","Paridae","landbird","other","R","native",10.8,"Omnivore","Invertivore","Forest",1
