"","spp","disp","r2","beta_yr","se_yr","p_yr","park"
"1","AGOL","0.749722885221073","0.0827361890719062","-0.268422481723874","0.0844692587029302","0.00148420882614637","Carkeek Park"
"2","AMCR","-0.0151034000937362","1.58604683830887e-08","5.79708448781484e-05","0.0400296780412372","0.99884450667104","Carkeek Park"
"3","AMRO","-1.42115063214514","0.168242896034132","-0.18276813517346","0.0392193750763017","3.1598042221523e-06","Carkeek Park"
"4","AMWI","-1.09701907404405","0.0179228933801749","0.264078703593772","0.355247052612541","0.457259913372223","Carkeek Park"
"5","ANHU","-0.0947245685890274","0.282896142775098","0.316459470951988","0.0452100214134327","2.56394403462084e-12","Carkeek Park"
"6","BAEA","-0.492667663758074","0.00362605671716609","0.0768913561633456","0.148563811513727","0.604762149519572","Carkeek Park"
"7","BAGO","-1.47460685054411","0.104764348981954","-0.636928439176963","0.367656480774272","0.0832021977046477","Carkeek Park"
"8","BAOW","-0.894829145283167","0.0296164585514791","-0.318452803173072","0.293104654090615","0.277265992801864","Carkeek Park"
"9","BARS","-1.53357147165837","0.356954049101954","-1.75833334920349","0.715903667688755","0.0140452783638075","Carkeek Park"
"10","BCCH","0.62136690924238","0.1294836555066","-0.17993653775242","0.0388050951319329","3.53620869025464e-06","Carkeek Park"
"11","BEKI","-1.2345316835294","0.0055566425865845","0.141148328325808","0.333290404792775","0.671930844588831","Carkeek Park"
"12","BEWR","-0.193959154107637","0.0397739445777788","-0.118848726280983","0.0537054449187829","0.0268994728575012","Carkeek Park"
"13","BHCO","-0.72990849076207","0.0742182831181992","-0.474233705888026","0.246707910062273","0.054574600853793","Carkeek Park"
"14","BHGR","-0.83180344388189","0.0460050820847174","0.310182185785056","0.184988658944358","0.0935887858820245","Carkeek Park"
"15","BRCR","-0.490507287935776","0.112358136188921","0.235272329309633","0.0638248727636103","0.000227612314371494","Carkeek Park"
"16","BTPI","-1.32024436227509","0.101025269942646","-0.262129111384172","0.088071148272318","0.00291717412400557","Carkeek Park"
"17","BTYW","0.761076287769213","0.160689732488566","0.539502776121453","0.128465618334996","2.67400108530284e-05","Carkeek Park"
"18","BUSH","0.217732494354653","0.183724847646492","-0.475193348337634","0.103550757288179","4.45396614901306e-06","Carkeek Park"
"19","CANG","-1.04442854991208","0.00153187359128937","0.0797815307650858","0.378021613575122","0.832848112703028","Carkeek Park"
"20","CATE","-1.24795823198795","0.106163130557528","0.687660624653461","0.411075651305669","0.0943603155527416","Carkeek Park"
"21","CBCH","0.235365411188499","0.0818001382854522","0.191963237561076","0.0579238395846688","0.000919508779668789","Carkeek Park"
"22","CEDW","-1.07228002726007","0.00146127730134149","-0.0661049755134705","0.270342910384792","0.806826031590535","Carkeek Park"
"23","COGO","-0.899707509001606","0.0647369333027749","-0.497149491166773","0.334556401698864","0.137280166007861","Carkeek Park"
"24","COHA","-1.20114726446604","0.095272081372212","-0.444353146084842","0.19367931621802","0.0217748460954499","Carkeek Park"
"25","CORA","-1.46314338845382","0.428741057432798","1.68204862014635","0.551925675059482","0.0023067685300184","Carkeek Park"
"26","DCCO","-1.43839537598041","0.0224465535956401","-0.302043998342248","0.397526719564651","0.447369335282814","Carkeek Park"
"27","DEJU","-0.279750231068019","0.683122219549771","1.23598961850234","0.100150465978892","5.42544533141593e-35","Carkeek Park"
"28","DOWO","-0.781763070667908","3.34556236958328e-06","0.00150345508484383","0.0873045511863734","0.986260460700886","Carkeek Park"
"29","EUST","-1.56398317185333","0.498155193336824","-2.32060130344614","0.758567945059047","0.00221938463344085","Carkeek Park"
"30","FOSP","-1.25245489758787","0.129058815089546","-0.860831894635052","0.517422588835057","0.0961739676200017","Carkeek Park"
"31","GBHE","-0.94448537552625","0.12317716349585","0.464786812667288","0.156591321609289","0.00299596334304847","Carkeek Park"
"32","GCKI","3.22573983234947","0.0527918074258691","0.148440457185772","0.0468795327168625","0.00154325897003843","Carkeek Park"
"33","GCSP","-1.24601065492277","0.00137518016923766","0.0797226822728546","0.447114626373912","0.858483612455984","Carkeek Park"
"34","GWGU","0.29353950460078","0.00552716428764677","0.0440499258344444","0.0522983947865726","0.399630880772476","Carkeek Park"
"35","HAWO","-0.792528301486752","0.10709307581174","0.400158199477258","0.140109952500695","0.00428974870774332","Carkeek Park"
"36","HETH","-1.04292686033665","0.00503415924524753","0.12596731375304","0.288791248070963","0.662700241134214","Carkeek Park"
"37","HOFI","-0.627367057985657","0.00219510829707403","-0.0498668959160968","0.117912898246531","0.672358747640344","Carkeek Park"
"38","HOGR","-1.2689887597433","0.12835825206062","-0.801428461380225","0.437492206375307","0.0669709228135167","Carkeek Park"
"39","HUVI","-1.36962981384524","0.0439960002451193","0.248018282061266","0.14750505903428","0.0926809348770039","Carkeek Park"
"40","MALL","-0.925813757366343","0.154573207904865","0.385972243873337","0.0994925793189374","0.000104711273018086","Carkeek Park"
"41","MERL","-1.17574849699531","0.0150525119922699","-0.209594312744222","0.266780283169817","0.432076114610653","Carkeek Park"
"42","NOFL","-0.26888417200415","0.0217945757007302","-0.0817209345367827","0.0502039723404504","0.103571912730172","Carkeek Park"
"43","OCWA","-0.620539381231447","0.0433783969357255","0.252107778580872","0.135409143932763","0.0626281267174402","Carkeek Park"
"44","OLGU","-1.07953173809231","0.0656821122649575","0.538378851573895","0.395673639110026","0.173619916140032","Carkeek Park"
"45","OSFL","-1.09517886449275","0.00428448736212883","0.132294663211442","0.377758685054701","0.726181511483975","Carkeek Park"
"46","OSPR","-1.01253596472014","0.127481377382231","-0.560640111583154","0.207323059433586","0.00684719528470788","Carkeek Park"
"47","PAWR","-0.46751948922932","0.0967138599303563","-0.17230855099809","0.0488009498689018","0.000414235659435132","Carkeek Park"
"48","PISI","3.899264756636","0.0424983868355495","0.198970646087723","0.0696825706066973","0.00429845328314528","Carkeek Park"
"49","PIWO","-0.55602056862054","0.0493760591427757","0.217315379373792","0.10401761130813","0.036688178649599","Carkeek Park"
"50","PUFI","0.106362392434858","0.537498076735597","1.99747793910264","0.431196520549577","3.61438068913061e-06","Carkeek Park"
"51","RBGU","-0.83580027197554","0.0162186782266537","0.263978324411538","0.379699105542145","0.486910984249281","Carkeek Park"
"52","RBME","-0.704611639662511","0.00983893621271015","-0.20253828048764","0.364400038767002","0.578338694289208","Carkeek Park"
"53","RBNU","-1.05847411807614","0.106144433070494","0.24180054354176","0.0737053840929657","0.0010357328206943","Carkeek Park"
"54","RBSA","-0.12294415379944","0.0532096081245346","0.439603968752166","0.285094450803906","0.123083544766879","Carkeek Park"
"55","RCKI","-0.853225636967523","0.111946503440665","-0.259760676161594","0.076363529871087","0.000669846124852048","Carkeek Park"
"56","ROPI","-0.524231057253544","0.182073127081294","-0.5543333281449","0.142342345156874","9.84555032025086e-05","Carkeek Park"
"57","RTHA","-0.884851769907113","0.0923543158809924","0.473002377404266","0.211531690375185","0.0253463470051969","Carkeek Park"
"58","RUHU","-0.538632881250908","0.0118945172891433","-0.227070859935992","0.366073824306378","0.535068805983721","Carkeek Park"
"59","SOSP","-0.477483355253275","0.0236199408232186","-0.0694316219838931","0.039964297082983","0.0823269539747526","Carkeek Park"
"60","SPTO","-0.072121622828315","0.0554163509137481","0.130011253381753","0.0477760514420257","0.00650327834423743","Carkeek Park"
"61","SSHA","-0.878018560908439","0.0151239648146047","-0.251837865242807","0.367882340196817","0.493621048490275","Carkeek Park"
"62","STJA","-0.0478007385805743","0.0221207893664163","-0.113978115608253","0.0724707721394052","0.115777648320249","Carkeek Park"
"63","SWTH","-1.48201516829489","0.00122881147701337","-0.026854844868559","0.0860345653792514","0.754933990408079","Carkeek Park"
